Any,Nom,Personalitat o Entitat,Sexe,Descripció,A títol pòstum,Decret,URL
2020,Àngels Alabert i Feliu,Personalitat,Dona,"pianista, pedagoga i compositora",no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Josep Amat i Girbau,Personalitat,Home,doctor enginyer industrial,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Miquel Barceló i Artigues,Personalitat,Home,"pintor, escultor, ceramista i gravador",no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Roser Bru Llop,Personalitat,Dona,pintora i gravadora,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Purificació Canals i Ventín,Personalitat,Dona,biòloga,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Antoni Canu,Personalitat,Home,poeta,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Teresa Capell Capell,Personalitat,Dona,bioenginyera,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Eduard Carbonell i Esteller,Personalitat,Home,historiador de l'art,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Imma Colomer Marcet,Personalitat,Dona,actriu i directora escènica,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Maria Josep Cuenca Ordinyana,Personalitat,Home,lingüista,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Joan Estruch i Gibert,Personalitat,Home,sociòleg,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Jordi Fàbregas i Canadell,Personalitat,Home,músic i activista cultural,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
1991,Antoni Malaret i Amigó,Personalitat,Home,polític,no,"DECRET 50/1991, de 4 de març, de concessió de les Creus de Sant Jordi de la Generalitat de Catalunya.",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=68203&language=ca_ES&textWords=creus%2520de%2520sant%2520jordi&mode=single
2020,Jordi Galí i Garreta,Personalitat,Home,economista,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Rosa Maria Garriga i Llorente,Personalitat,Dona,sociòloga i antropòloga,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Gerhard Grenzing,Personalitat,Home,músic i orguener,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
2020,Mossèn Benigne Marquès i Sala,Personalitat,Home,arxiver,no,"DECRET 45/2020, de 17 de març, pel qual es modifica el Decret 44/2020, de 10 de març, de concessió de la Creu de Sant Jordi de la Generalitat de Catalunya",https://portaljuridic.gencat.cat/ca/pjur_ocults/pjur_resultats_fitxa/?action=fitxa&documentId=871288&language=ca_ES&textWords=DECRET%252044%2F2020%2C%2520de%252010%2520de%2520mar%25C3%25A7%2C%2520de%2520concessi%25C3%25B3%2520de%2520la%2520Creu%2520de%2520Sant%2520Jordi%2520de%2520la%2520Generalitat%2520de%2520Catalunya&mode=single
